EmpID,FirstName,LastName,StartDate,ExitDate,Title,ADEmail,EmployeeStatus,EmployeeType,TerminationDescription,DepartmentType,DOB,GenderCode,LocationCode,Current Employee Rating
25,Joanna,Burnett,07-Apr-21,01-May-22,Shared Services Manager,joanna.burnett@bilearner.com,Active,Part-Time,Story knowledge policy. Board tax treatment.,Software Engineering,11-04-2000,Female,21279,3
26,Briley,Huerta,27-Aug-21,01-May-22,Production Technician II,briley.huerta@bilearner.com,Voluntarily Terminated,Contract,Onto site natural situation wear.,Production       ,13-02-1972,Female,96336,5
27,Kenneth,Peters,10-Feb-23,01-May-23,Production Technician I,kenneth.peters@bilearner.com,Active,Contract,Maintain material discover discover.,Production       ,31-12-1995,Female,39000,3
28,Donald,Favis,21-Jul-22,01-May-23,Enterprise Architect,donald.favis@bilearner.com,Terminated for Cause,Full-Time,Manage brother himself deal.,IT/IS,27-06-1998,Male,6033,3
29,Karissa,Bowers,23-Mar-23,01-May-23,Production Technician I,karissa.bowers@bilearner.com,Active,Full-Time,Some others lot miss land similar.,Production       ,17-03-1984,Male,76278,3
30,Hang T,Wolk,15-Jul-19,01-May-23,Production Technician II,hang t.wolk@bilearner.com,Active,Contract,Large relate work treatment Mrs.,Production       ,11-01-1982,Female,2302,3
31,Ross,Strickland,20-Nov-20,01-May-23,Production Technician I,ross.strickland@bilearner.com,Active,Full-Time,Memory high then mind concern carry level life.,Production       ,08-03-1943,Male,18389,2
32,Kaylyn,Patrick,14-Nov-20,01-Nov-21,Production Technician I,kaylyn.patrick@bilearner.com,Voluntarily Terminated,Full-Time,Sure trip sound action.,Production       ,30-01-1968,Female,38596,3
33,Yamilet,Pierce,03-Aug-21,01-Nov-22,Production Technician I,yamilet.pierce@bilearner.com,Active,Full-Time,Only alone imagine. Loss minute girl.,Production       ,11-03-1955,Male,49243,3
34,Laila,Wiggins,10-Apr-21,01-Nov-22,Production Technician I,laila.wiggins@bilearner.com,Active,Contract,Sure truth clear father experience can.,Production       ,06-12-1960,Male,26250,2
35,Marquis,Cardenas,26-Oct-22,01-Nov-22,Production Technician I,marquis.cardenas@bilearner.com,Terminated for Cause,Part-Time,Account between environmental section group.,Production       ,30-08-1942,Male,1015,2
36,Sarah,Akinkuolie,20-Jan-19,01-Oct-19,Production Technician II,sarah.akinkuolie@bilearner.com,Voluntarily Terminated,Contract,Summer begin quickly.,Production       ,28-09-1968,Female,1810,3
37,Julie,Harrington,08-May-19,01-Oct-20,BI Director,julie.harrington@bilearner.com,Terminated for Cause,Part-Time,Past stand forget offer serious never.,IT/IS,27-02-1946,Male,29739,3
38,Aimee,Santana,28-Dec-20,01-Oct-21,Production Technician II,aimee.santana@bilearner.com,Voluntarily Terminated,Part-Time,Treatment become trade enough improve.,Production       ,02-03-1961,Male,79458,3
39,Lincoln,Compton,18-Jul-19,01-Oct-21,Area Sales Manager,lincoln.compton@bilearner.com,Future Start,Full-Time,Base scene central unit per argue. Might last of.,Sales,29-12-1997,Male,78046,1
40,Gabrielle,Mercer,15-Sep-20,01-Oct-21,IT Support,gabrielle.mercer@bilearner.com,Active,Full-Time,This focus strategy behind among this.,IT/IS,16-07-1990,Female,67812,2
41,Ralph,Stone,01-Aug-20,01-Oct-22,Area Sales Manager,ralph.stone@bilearner.com,Active,Full-Time,Hard way effort wear physical. Want between grow.,Sales,22-11-1997,Male,97985,4
42,Drake,Nicholson,09-Aug-22,01-Sep-22,CIO,drake.nicholson@bilearner.com,Terminated for Cause,Contract,Tax five question.,IT/IS,02-07-1971,Male,47536,3
43,Kyra,Ray,28-Apr-19,01-Sep-22,Production Technician I,kyra.ray@bilearner.com,Future Start,Part-Time,Year color woman become year scene very.,Production       ,03-04-1956,Male,33658,5
44,Giselle,Calderon,03-Feb-19,02-Apr-19,Production Technician II,giselle.calderon@bilearner.com,Active,Contract,Stock indeed about brother campaign.,Production       ,02-07-1981,Female,96092,4
45,Turner,Bradley,03-Nov-22,02-Apr-23,Production Technician I,turner.bradley@bilearner.com,Active,Full-Time,Explain put must.,Production       ,06-04-1976,Male,4497,3
46,Sarai,Stone,02-Aug-22,02-Apr-23,Area Sales Manager,sarai.stone@bilearner.com,Active,Contract,Somebody great could yet.,Sales,17-05-1962,Female,96336,2
47,Krystal,Atkinson,05-Mar-21,02-Apr-23,Production Technician I,krystal.atkinson@bilearner.com,Active,Contract,Top ability sit onto so.,Production       ,16-12-1971,Female,92712,3
48,Lei-Ming,Nguyen,17-Mar-20,02-Aug-21,Production Technician I,lei-ming.nguyen@bilearner.com,Active,Contract,This win treat they kid simple.,Production       ,03-04-1963,Female,2132,3
49,Tania,Taylor,11-Mar-22,02-Aug-22,Production Technician I,tania.taylor@bilearner.com,Active,Contract,Nothing it prepare imagine big.,Production       ,27-04-1953,Male,46150,5
50,Samson,Ellis,29-Oct-21,02-Aug-22,Production Technician I,samson.ellis@bilearner.com,Voluntarily Terminated,Contract,Ahead onto current situation speech while.,Production       ,16-05-1961,Female,97689,3
51,Stephany,Neal,11-Nov-19,02-Aug-23,Production Technician I,stephany.neal@bilearner.com,Active,Full-Time,While win have company will identify certainly.,Production       ,11-05-1982,Female,69859,3
52,Jordyn,Patel,30-Apr-22,02-Aug-23,Production Technician I,jordyn.patel@bilearner.com,Terminated for Cause,Full-Time,Or tax believe thank cell.,Production       ,03-09-1992,Male,14468,1
53,Celeste,Allison,01-Aug-23,02-Aug-23,Production Technician II,celeste.allison@bilearner.com,Voluntarily Terminated,Full-Time,Material thousand usually.,Production       ,17-04-1983,Female,9346,1
54,Trystan,Ramos,02-Aug-23,02-Aug-23,Production Technician I,trystan.ramos@bilearner.com,Active,Part-Time,Need challenge education bank upon reach fall.,Production       ,30-03-1971,Female,14325,3
55,Susan,Lundy,26-Jan-19,02-Dec-20,Production Technician II,susan.lundy@bilearner.com,Voluntarily Terminated,Full-Time,Week degree party available measure.,Production       ,07-11-1994,Female,2122,1
56,Tatiana,Ayala,21-Apr-19,02-Dec-20,Software Engineering Manager,tatiana.ayala@bilearner.com,Future Start,Contract,They behind war evening. Particular film war yes.,Software Engineering,13-04-1993,Female,34961,3
57,Jefferson,White,17-Apr-19,02-Dec-21,Production Technician I,jefferson.white@bilearner.com,Active,Contract,Better above culture throughout life me.,Production       ,27-08-1964,Female,82019,3
58,Faith,Carey,01-Sep-22,02-Dec-22,Production Technician I,faith.carey@bilearner.com,Voluntarily Terminated,Contract,Tough that inside relate hundred leave.,Production       ,20-06-1983,Male,9799,3
59,Aron,Graham,20-Dec-21,02-Dec-22,Production Technician II,aron.graham@bilearner.com,Voluntarily Terminated,Full-Time,Sea people east bar indicate garden along.,Production       ,08-09-1947,Male,52047,3
60,Linda,Barajas,23-Oct-18,02-Dec-22,Production Technician I,linda.barajas@bilearner.com,Active,Full-Time,Fight cup mean money easy stock stock strategy.,Production       ,22-05-1945,Female,77756,3
61,Carla,Demita,27-Jun-21,02-Jan-22,Production Technician II,carla.demita@bilearner.com,Voluntarily Terminated,Part-Time,Stock avoid company tend tell success.,Production       ,09-12-1944,Female,2343,4
62,Nathalia,Larson,07-Dec-21,02-Jan-23,Production Technician I,nathalia.larson@bilearner.com,Active,Full-Time,Yeah quickly speech hold. Hard image wall large.,Production       ,27-07-1943,Female,83667,3
63,Vincent,Ramsey,19-Apr-19,02-Jul-20,Production Manager,vincent.ramsey@bilearner.com,Active,Part-Time,Condition control raise.,Production       ,01-05-1999,Male,68494,4
64,Bridget,Deleon,08-Jan-20,02-Jul-21,Production Technician I,bridget.deleon@bilearner.com,Active,Contract,Store common between real.,Production       ,31-08-1973,Male,23691,2
65,Lillian,Hines,05-Oct-21,02-Jul-23,Production Technician I,lillian.hines@bilearner.com,Voluntarily Terminated,Full-Time,Economy choice authority responsibility.,Production       ,22-12-1976,Female,61287,3
66,Braxton,House,13-Jan-19,02-Jul-23,Production Technician II,braxton.house@bilearner.com,Voluntarily Terminated,Contract,Material as already course. See our realize.,Production       ,08-10-1950,Female,69805,3
67,Yareli,Valdez,10-Dec-22,02-Jul-23,Production Technician II,yareli.valdez@bilearner.com,Leave of Absence,Part-Time,Official minute everyone level thing economic.,Production       ,08-12-1999,Male,27671,5
68,Kenya,Decker,06-Sep-21,02-Jul-23,Production Technician I,kenya.decker@bilearner.com,Active,Contract,Member space player.,Production       ,27-07-1994,Male,10345,3
69,Larry,Novak,15-Sep-21,02-Jul-23,Director of Operations,larry.novak@bilearner.com,Active,Full-Time,Executive might picture speech light.,Sales,07-02-1952,Male,11241,2
70,Aidyn,Cuevas,04-Mar-22,02-Jul-23,Production Technician I,aidyn.cuevas@bilearner.com,Active,Full-Time,Theory war statement international anyone.,Production       ,10-06-1963,Female,48860,4
71,Coby,Giles,04-May-23,02-Jul-23,Software Engineer,coby.giles@bilearner.com,Active,Full-Time,Will low work decade site.,Software Engineering,12-05-1988,Female,49964,1
72,Joanna,Bradley,03-Jul-20,02-Jul-23,Production Technician I,joanna.bradley@bilearner.com,Active,Full-Time,Practice school PM her help open tough.,Production       ,23-04-1961,Male,24429,4
73,Veronica,Rowe,11-Dec-18,02-Jun-22,Area Sales Manager,veronica.rowe@bilearner.com,Active,Full-Time,Popular west moment natural step activity.,Sales,02-02-1994,Female,29811,4
74,Alain,Robinson,03-May-19,02-Jun-23,Production Technician I,alain.robinson@bilearner.com,Voluntarily Terminated,Part-Time,Meet fight night. Image room nation.,Production       ,10-01-1993,Male,1420,3
75,Aliana,Blake,12-Mar-23,02-Jun-23,Production Manager,aliana.blake@bilearner.com,Active,Contract,Technology eight stage hold chance after police.,Production       ,13-01-1959,Male,38407,4
76,Maximus,Delgado,28-Sep-20,02-Jun-23,Area Sales Manager,maximus.delgado@bilearner.com,Active,Part-Time,Appear reality artist there understand.,Sales,21-03-1973,Female,59871,4
77,Tyler,Gay,30-Sep-19,02-Mar-21,Production Technician II,tyler.gay@bilearner.com,Voluntarily Terminated,Full-Time,Shoulder then shake.,Production       ,24-11-1984,Female,8671,3
78,Elaine,Ewing,19-Dec-21,02-Mar-22,Area Sales Manager,elaine.ewing@bilearner.com,Active,Part-Time,Your very trip successful memory to while out.,Sales,28-03-1951,Male,17123,2
79,Isabelle,Shields,25-Jun-20,02-Mar-22,Production Technician II,isabelle.shields@bilearner.com,Voluntarily Terminated,Part-Time,Five carry couple goal western.,Production       ,01-05-1996,Female,39141,3
80,Trevon,Deleon,05-Dec-21,02-Mar-22,Production Technician I,trevon.deleon@bilearner.com,Active,Part-Time,Whom book science field follow treatment kind.,Production       ,20-07-1957,Male,94462,3
81,Aydin,Dixon,25-Feb-22,02-Mar-22,Production Technician I,aydin.dixon@bilearner.com,Terminated for Cause,Contract,Example trip behavior himself young.,Production       ,23-10-1958,Male,83481,5
82,Kendrick,Pollard,07-Feb-22,02-Mar-23,Administrative Assistant,kendrick.pollard@bilearner.com,Active,Full-Time,Activity pay wall start cause.,Sales,07-10-1983,Female,60915,5
83,Moriah,Dodson,07-Nov-22,02-Mar-23,Production Technician I,moriah.dodson@bilearner.com,Active,Part-Time,Resource collection house seek sound wind.,Production       ,17-10-1949,Female,58015,4
84,Rylee,Stevenson,14-Oct-22,02-Mar-23,Production Technician II,rylee.stevenson@bilearner.com,Leave of Absence,Full-Time,Sound modern feel special me fish produce.,Production       ,21-10-1943,Female,40691,3
85,Angelique,Hogan,05-Aug-21,02-Mar-23,Production Technician I,angelique.hogan@bilearner.com,Active,Part-Time,Event TV few much continue success.,Production       ,03-02-1946,Female,28645,4
86,Brody,House,09-Mar-19,02-May-20,Production Technician I,brody.house@bilearner.com,Voluntarily Terminated,Full-Time,Blood people direction all item.,Production       ,25-09-1984,Male,92706,3
87,Ivan,Hull,10-Oct-18,02-May-22,Production Manager,ivan.hull@bilearner.com,Active,Part-Time,Body move possible play. Relate husband Mrs.,Production       ,06-08-1971,Female,6536,4
88,Lucia,Hudson,13-Oct-22,02-May-23,Production Technician I,lucia.hudson@bilearner.com,Active,Contract,Ask station everything race feeling by although.,Production       ,26-02-1977,Female,73245,3
89,Antoine,Haney,24-Aug-20,02-May-23,Director of Sales,antoine.haney@bilearner.com,Active,Contract,Well energy step may.,Sales,22-09-1978,Male,6563,2
90,Zoe,Colon,24-Sep-20,02-Nov-20,Software Engineer,zoe.colon@bilearner.com,Voluntarily Terminated,Part-Time,Accept knowledge drop bar understand.,Software Engineering,27-07-1993,Male,4876,3
91,Josue,Gentry,09-Jan-20,02-Nov-20,Production Technician II,josue.gentry@bilearner.com,Active,Contract,Often his world its threat last.,Production       ,25-01-1965,Female,40697,2
92,Elise,Vazquez,26-Jan-22,02-Nov-22,Network Engineer,elise.vazquez@bilearner.com,Active,Full-Time,Partner discover size agency alone.,Executive Office,12-05-1953,Male,21738,3
93,Rebecca,Craig,15-Mar-19,02-Oct-19,Production Technician II,rebecca.craig@bilearner.com,Voluntarily Terminated,Part-Time,Scene receive customer way medical way itself.,Production       ,04-04-1981,Female,34085,3
94,Aimee,Hughes,13-Aug-20,02-Oct-20,Production Technician I,aimee.hughes@bilearner.com,Voluntarily Terminated,Part-Time,Foot apply stay treatment local good issue.,Production       ,01-04-1985,Female,20389,2
95,Vincent,Wyatt,14-Mar-22,02-Oct-22,Production Technician I,vincent.wyatt@bilearner.com,Voluntarily Terminated,Full-Time,Field year certainly data sense table yes.,Production       ,20-11-1949,Female,95347,3
96,Kaden,Woodard,07-Dec-19,02-Sep-20,Production Technician II,kaden.woodard@bilearner.com,Voluntarily Terminated,Contract,Value health model day production identify.,Production       ,07-11-1962,Male,16157,3
97,Joaquin,Cuevas,12-Apr-22,02-Sep-22,Area Sales Manager,joaquin.cuevas@bilearner.com,Active,Part-Time,Author hotel car care special organization.,Sales,14-04-1997,Male,28406,4
98,Pierre,Tate,13-Mar-22,02-Sep-22,Production Technician I,pierre.tate@bilearner.com,Terminated for Cause,Full-Time,Perhaps system its answer small.,Production       ,28-01-1946,Male,59518,1
99,Carl,Desimone,16-Nov-18,03-Apr-21,Production Technician I,carl.desimone@bilearner.com,Active,Contract,Fine use card current agent.,Production       ,26-08-1986,Male,2061,3
100,Marshall,Lucas,15-Jan-19,03-Apr-21,Production Technician II,marshall.lucas@bilearner.com,Voluntarily Terminated,Contract,Personal themselves institution record.,Production       ,30-01-1958,Female,46410,2
101,Carlos,Merlos,02-Jan-20,03-Apr-22,Network Engineer,carlos.merlos@bilearner.com,Active,Part-Time,Car book street pull try brother.,IT/IS,15-06-1950,Male,2138,3
102,Fatima,Pennington,10-Apr-22,03-Apr-23,BI Developer,fatima.pennington@bilearner.com,Terminated for Cause,Full-Time,Economic its member focus growth.,IT/IS,30-01-1961,Female,32063,3
103,Brynn,Harding,04-May-19,03-Aug-21,Production Technician I,brynn.harding@bilearner.com,Future Start,Contract,Matter man skill produce poor.,Production       ,19-09-1951,Female,42113,3
104,Darryl,Wiley,22-Apr-20,03-Aug-22,Production Manager,darryl.wiley@bilearner.com,Active,Contract,Game play arm argue blood try here.,Production       ,30-08-1976,Male,28492,1
105,Eden,Robles,15-Mar-19,03-Aug-22,Production Technician I,eden.robles@bilearner.com,Leave of Absence,Full-Time,Size shake far example.,Production       ,10-10-1992,Male,11092,2
106,Aydin,Bautista,17-Nov-21,03-Aug-22,Production Technician I,aydin.bautista@bilearner.com,Leave of Absence,Full-Time,Sound there everybody anything.,Production       ,08-12-1982,Female,60993,3
107,Lauren,Keith,12-Feb-21,03-Aug-22,Production Manager,lauren.keith@bilearner.com,Active,Part-Time,Join executive spend speak many sometimes.,Production       ,12-08-1946,Female,1425,1
108,Genesis,Todd,23-Apr-22,03-Aug-22,Software Engineer,genesis.todd@bilearner.com,Voluntarily Terminated,Full-Time,Former treat check special economy.,Software Engineering,17-11-1962,Male,65978,3
109,Nilson,Fernandes,17-Jul-23,03-Aug-23,Production Technician I,nilson.fernandes@bilearner.com,Active,Contract,Blue star hospital work.,Production       ,02-08-1999,Male,2132,3
110,Ayla,Mcgrath,29-Jun-20,03-Aug-23,BI Developer,ayla.mcgrath@bilearner.com,Active,Full-Time,Someone situation else. Big statement else gas.,IT/IS,04-01-2001,Male,17318,3
111,Jaliyah,Conway,26-Aug-21,03-Aug-23,Production Technician I,jaliyah.conway@bilearner.com,Active,Full-Time,Manage expert such rate stand.,Production       ,19-01-1947,Female,95951,3
112,Patience,Henry,22-Dec-21,03-Aug-23,Production Technician I,patience.henry@bilearner.com,Active,Contract,Much try remember natural.,Production       ,21-10-1983,Female,46847,5
113,Jaycee,Osborn,02-Jan-20,03-Aug-23,Production Technician I,jaycee.osborn@bilearner.com,Active,Full-Time,Become cell want page fight.,Production       ,02-12-1972,Male,56864,2
114,Uriah,Guerrero,03-Nov-22,03-Aug-23,Production Technician II,uriah.guerrero@bilearner.com,Voluntarily Terminated,Full-Time,Then foot not.,Production       ,15-02-1953,Male,40809,3
115,Raphael,Francis,10-Nov-19,03-Dec-20,Administrative Assistant,raphael.francis@bilearner.com,Active,Full-Time,Rock entire unit amount hope seem hotel.,Admin Offices,11-10-1983,Female,36283,3
116,Shana,Maurice,23-Oct-19,03-Dec-20,Production Technician I,shana.maurice@bilearner.com,Active,Full-Time,Head where have ground scene.,Production       ,15-02-1950,Female,2330,3
117,William,Avila,17-Jun-21,03-Dec-21,Production Technician I,william.avila@bilearner.com,Active,Contract,Ready image offer. According and reveal land.,Production       ,12-03-1974,Female,15819,4
118,Jaylen,Donaldson,19-Oct-19,03-Dec-21,Production Technician II,jaylen.donaldson@bilearner.com,Active,Full-Time,Determine building society soldier.,Production       ,14-02-1999,Female,92533,4
119,Aimee,Berg,11-Jun-21,03-Dec-22,Production Technician I,aimee.berg@bilearner.com,Active,Contract,Produce seek result he political alone form.,Production       ,21-08-2000,Female,89647,4
120,Johnathan,Mayo,30-Jul-21,03-Dec-22,Production Technician I,johnathan.mayo@bilearner.com,Leave of Absence,Full-Time,Style up reality per.,Production       ,24-01-2000,Male,67062,3
121,Reginald,Lowery,27-Aug-22,03-Dec-22,Production Technician I,reginald.lowery@bilearner.com,Voluntarily Terminated,Contract,Expect grow back list letter.,Production       ,26-11-1983,Male,70056,5
122,Alexia,Hughes,01-Feb-23,03-Feb-23,Production Technician II,alexia.hughes@bilearner.com,Voluntarily Terminated,Full-Time,Then sing son.,Production       ,13-07-1942,Female,46511,3
123,Leslie,Maynard,30-Jun-22,03-Feb-23,Production Technician I,leslie.maynard@bilearner.com,Active,Full-Time,Big author those five today.,Production       ,26-05-1994,Male,62490,1
124,Elisa,Henry,02-Feb-19,03-Feb-23,Production Technician II,elisa.henry@bilearner.com,Active,Part-Time,Common no sure wonder up although.,Production       ,10-03-1943,Female,10110,3
125,Malachi,Burnett,24-Oct-21,03-Feb-23,Production Technician II,malachi.burnett@bilearner.com,Active,Contract,Fire necessary sing first traditional.,Production       ,14-06-1959,Female,5819,4
126,Kadin,Mcdowell,05-Jul-22,03-Jan-23,Production Technician II,kadin.mcdowell@bilearner.com,Active,Full-Time,Left she before though finally.,Production       ,10-08-1953,Female,51064,1
127,Denise,Mccullough,09-May-22,03-Jan-23,Production Technician I,denise.mccullough@bilearner.com,Voluntarily Terminated,Part-Time,Herself Mr office bed.,Production       ,19-09-1978,Female,71922,2
128,Roy,Pratt,12-Oct-22,03-Jul-23,Production Technician I,roy.pratt@bilearner.com,Active,Full-Time,Only something seven relate leg however.,Production       ,13-06-1961,Female,59255,5
129,Kane,Black,11-Nov-22,03-Jul-23,Production Technician I,kane.black@bilearner.com,Voluntarily Terminated,Part-Time,Deep sea improve miss they nearly measure.,Production       ,09-04-1967,Female,91837,3
130,Latia,Costa,06-Apr-22,03-Jul-23,Area Sales Manager,latia.costa@bilearner.com,Active,Full-Time,Me see picture nature degree benefit.,Sales,01-07-1942,Female,90007,4
131,Harper,Ramos,16-Feb-20,03-Jun-20,Area Sales Manager,harper.ramos@bilearner.com,Active,Full-Time,Stand possible truth bank on meet daughter.,Sales,11-08-1942,Male,28714,1
132,Brady,Boyd,17-Apr-22,03-Jun-22,Production Technician I,brady.boyd@bilearner.com,Active,Full-Time,Provide pick upon green event himself.,Production       ,13-01-1984,Male,9125,3
133,Giada,Santos,31-Jan-21,03-Jun-22,Production Technician I,giada.santos@bilearner.com,Active,Part-Time,Western unit case late investment.,Production       ,17-11-1941,Female,57901,3
134,Sabrina,Durham,26-Apr-23,03-Jun-23,IT Support,sabrina.durham@bilearner.com,Active,Part-Time,Part officer father last trouble field.,IT/IS,11-04-2001,Male,21759,3
135,Erica,Sloan,09-Apr-23,03-Jun-23,Production Manager,erica.sloan@bilearner.com,Active,Full-Time,Move story heavy list image arrive today.,Production       ,10-10-1983,Female,2573,4
136,Cesar,House,11-Mar-23,03-Jun-23,Production Technician I,cesar.house@bilearner.com,Active,Contract,Cell indicate keep thus.,Production       ,04-03-1991,Male,14685,3
137,Reed,Brandt,22-Jan-22,03-Mar-23,Production Technician I,reed.brandt@bilearner.com,Active,Contract,Enough final gun case.,Production       ,13-07-1960,Male,88435,1
138,Evangeline,Downs,13-Feb-23,03-Mar-23,Production Technician II,evangeline.downs@bilearner.com,Voluntarily Terminated,Part-Time,Hour range a country focus.,Production       ,19-01-1959,Female,36785,3
139,Raymond,Ayers,15-May-21,03-May-23,Production Technician I,raymond.ayers@bilearner.com,Voluntarily Terminated,Contract,Note claim hundred central bad.,Production       ,04-11-1963,Female,88428,3
140,Damian,Burke,19-Oct-22,03-May-23,Production Technician I,damian.burke@bilearner.com,Future Start,Part-Time,About allow court us.,Production       ,28-04-1963,Female,60533,3
141,Zariah,Castaneda,03-Nov-18,03-May-23,Production Technician I,zariah.castaneda@bilearner.com,Active,Full-Time,Cultural later per thank.,Production       ,10-08-1980,Female,74027,5
142,Dorian,Wu,13-Apr-23,03-May-23,IT Support,dorian.wu@bilearner.com,Active,Full-Time,This bank out.,IT/IS,20-07-1954,Female,90316,4
143,Beckett,Beck,19-Nov-20,03-Nov-21,Software Engineering Manager,beckett.beck@bilearner.com,Active,Contract,Market remember too less bring simple sort.,Software Engineering,25-04-1952,Female,69865,5
144,Brenna,Decker,01-Jul-22,03-Nov-22,Production Technician II,brenna.decker@bilearner.com,Active,Full-Time,Party course morning also blue.,Production       ,29-12-1988,Female,43526,3
145,Ronin,Mclaughlin,18-Oct-19,03-Oct-21,Production Technician II,ronin.mclaughlin@bilearner.com,Voluntarily Terminated,Full-Time,Learn whatever million.,Production       ,19-06-1947,Female,25148,3
146,Jaqueline,Gallagher,24-Oct-21,03-Oct-22,Production Technician I,jaqueline.gallagher@bilearner.com,Active,Contract,Surface mother in into pick middle too.,Production       ,01-10-1999,Male,12961,3
147,Aubree,Anderson,25-Jul-19,03-Sep-22,Network Engineer,aubree.anderson@bilearner.com,Active,Full-Time,War way happy safe consumer probably.,Executive Office,26-10-1962,Male,82740,2
148,Phoenix,Pitts,17-Dec-18,03-Sep-22,Production Technician I,phoenix.pitts@bilearner.com,Active,Contract,Air for charge until want drug seek.,Production       ,03-02-1969,Male,50864,3
149,Cheyenne,Herman,08-Jan-22,03-Sep-22,Area Sales Manager,cheyenne.herman@bilearner.com,Active,Contract,Debate want series success above.,Sales,13-08-1994,Female,26500,4
